Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26
UGA; Uganda;735;;670;;578;;491;;430;;419;;412;;401;;394;;387;;381;;375;
UKR; Ukraine;45;;52;;35;;33;;25;;23;;24;;23;;24;;21;;20;;19;
ARE; United Arab Emirates;13;;9;;6;;5;;4;;4;;4;;3;;3;;3;;3;;3;
GBR; United Kingdom;9;;10;;10;;11;;10;;9;;8;;8;;8;;8;;7;;7;
USA; United States;11;;12;;12;;13;;15;;15;;16;;16;;16;;18;;19;;19;
URY; Uruguay;38;;33;;26;;22;;17;;17;;17;;18;;17;;18;;18;;17;
UZB; Uzbekistan;52;;51;;41;;38;;31;;32;;32;;31;;30;;30;;29;;29;
VUT; Vanuatu;224;;178;;140;;113;;92;;88;;85;;82;;80;;76;;74;;72;
VEN; Venezuela (Bolivarian Republic of);131;;125;;119;;113;;117;;116;;116;;115;;113;;115;;121;;125;
VNM; Viet Nam;116;;88;;68;;54;;47;;47;;46;;46;;45;;45;;44;;43;
YEM; Yemen;430;;386;;301;;242;;192;;187;;184;;175;;174;;169;;165;;164;
ZMB; Zambia;633;;631;;528;;421;;305;;283;;267;;254;;242;;232;;222;;213;
ZWE; Zimbabwe;440;;457;;579;;685;;598;;557;;528;;509;;494;;480;;468;;458;
 ;Arab States;278;;261;;226;;200;;169;;165;;160;;155;;151;;148;;136;;135;
 ;Developing Countries;401;;417;;353;;310;;264;;255;;248;;242;;236;;231;;230;;224;
 ;East Asia and the Pacific;156;;154;;108;;97;;75;;72;;69;;66;;64;;62;;75;;73;
 ;Europe and Central Asia;69;;67;;57;;45;;29;;28;;27;;26;;25;;25;;21;;20;
 ;High human development;131;;116;;89;;80;;68;;65;;63;;60;;58;;56;;64;;62;
;Human Development;;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;
 ;Latin America and the Caribbean;133;;117;;99;;89;;82;;78;;76;;72;;70;;68;;74;;73;
 ;Least Developed Countries;900;;826;;730;;613;;520;;501;;485;;467;;450;;433;;424;;412;
 ;Low human development;1050;;972;;877;;735;;636;;611;;599;;585;;571;;557;;585;;572;
 ;Medium human development;525;;450;;379;;298;;238;;229;;220;;212;;205;;198;;173;;161;
 ;Organization for Economic Co-operation and Development;32;;29;;27;;21;;16;;15;;15;;15;;15;;14;;18;;18;
;Regions;;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;
 ;Small Island Developing States;325;;303;;262;;239;;207;;206;;195;;201;;197;;192;;210;;207;
 ;South Asia;535;;463;;377;;287;;221;;211;;201;;192;;184;;176;;163;;149;
 ;Sub-Saharan Africa;983;;928;;852;;725;;629;;605;;592;;577;;563;;550;;546;;535;
 ;Very high human development;34;;29;;26;;21;;16;;16;;15;;15;;15;;15;;14;;14;
 ;World;360;;372;;319;;278;;238;;230;;224;;218;;214;;209;;209;;204;
